ts,dir,hex,id,error,params,valid,note
22:59:46.512,TX,FFFF000201FC,0,,baud=115200,,PING_ID
22:59:46.752,TX,FFFF010201FB,1,,baud=115200,,PING_ID
22:59:46.955,TX,FFFF020201FA,2,,baud=115200,,PING_ID
22:59:47.159,TX,FFFF030201F9,3,,baud=115200,,PING_ID
22:59:47.362,TX,FFFF040201F8,4,,baud=115200,,PING_ID
22:59:47.564,TX,FFFF050201F7,5,,baud=115200,,PING_ID
22:59:47.767,TX,FFFF060201F6,6,,baud=115200,,PING_ID
22:59:47.973,TX,FFFF070201F5,7,,baud=115200,,PING_ID
22:59:48.177,TX,FFFF080201F4,8,,baud=115200,,PING_ID
22:59:51.074,TX,FFFF000201FC,0,,baud=115200,,PING_ID
22:59:51.276,TX,FFFF010201FB,1,,baud=115200,,PING_ID
22:59:51.479,TX,FFFF020201FA,2,,baud=115200,,PING_ID
22:59:51.684,TX,FFFF030201F9,3,,baud=115200,,PING_ID
22:59:51.753,RX,FFFF020200FBFF,2,,FB,False,
22:59:51.786,RX,FOUND,3,,baud=115200,FOUND,舵机已找到
22:59:51.787,TX,FFFF040201F8,4,,baud=115200,,PING_ID
22:59:51.990,TX,FFFF050201F7,5,,baud=115200,,PING_ID
22:59:52.194,TX,FFFF060201F6,6,,baud=115200,,PING_ID
22:59:52.397,TX,FFFF070201F5,7,,baud=115200,,PING_ID
22:59:52.601,TX,FFFF080201F4,8,,baud=115200,,PING_ID
22:59:52.665,RX,FFFFFF070200F6FFFF080200,255,未定义指令,00F6FFFF0802,False,
22:59:52.704,RX,FOUND,8,,baud=115200,FOUND,舵机已找到
22:59:52.704,TX,FFFF090201F3,9,,baud=115200,,PING_ID
22:59:52.908,TX,FFFF0A0201F2,10,,baud=115200,,PING_ID
22:59:53.110,TX,FFFF0B0201F1,11,,baud=115200,,PING_ID
23:00:02.192,TX,FFFF0104032800CF,-,,,,
23:00:02.247,TX,FFFF0104035500A2,-,,,,
23:00:02.303,TX,FFFF0107030900000000EB,-,,,,
23:00:02.359,TX,FFFF0104033301C3,-,,,,
23:00:02.414,TX,FFFF0104035501A1,-,,,,
23:00:02.469,TX,FFFF0104032801CE,-,,,,
23:00:02.623,TX,FFFF0105032E0000C8,-,,,,
23:00:10.053,TX,FFFF0305032E006561,-,,,,
23:00:10.074,TX,FFFF0306032900006565,-,,,,
23:00:10.594,RX,FFFF030200FAFF,3,,FA,False,
23:00:14.922,TX,FFFF0305032E003294,-,,,,
23:00:14.944,TX,FFFF0306032900003298,-,,,,
23:00:15.471,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:19.975,TX,FFFF0305032E0015B1,-,,,,
23:00:19.996,TX,FFFF03060329000015B5,-,,,,
23:00:20.532,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:24.402,TX,FFFF0304032800CD,-,,,,
23:00:24.460,TX,FFFF0304035500A0,-,,,,
23:00:24.522,TX,FFFF0307030900000000E9,-,,,,
23:00:24.582,TX,FFFF0304033301C1,-,,,,
23:00:24.642,TX,FFFF03040355019F,-,,,,
23:00:24.701,TX,FFFF0304032801CC,-,,,,
23:00:24.859,TX,FFFF0305032E0015B1,-,,,,
23:00:25.400,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:25.421,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:25.442,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:26.702,TX,FFFF0305032E0015B1,-,,,,
23:00:26.724,TX,FFFF03060329000015B5,-,,,,
23:00:27.256,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:38.798,TX,FFFF0305032E0002C4,-,,,,
23:00:38.819,TX,FFFF03060329000002C8,-,,,,
23:00:39.345,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:40.049,TX,FFFF0305032E0002C4,-,,,,
23:00:40.070,TX,FFFF03060329000002C8,-,,,,
23:00:40.603,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:42.084,TX,FFFF0305032E0002C4,-,,,,
23:00:42.106,TX,FFFF03060329000002C8,-,,,,
23:00:42.637,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:47.351,TX,FFFF0305032E0000C6,-,,,,
23:00:47.372,TX,FFFF03060329000000CA,-,,,,
23:00:47.905,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:50.727,TX,FFFF0305032E0000C6,-,,,,
23:00:50.750,TX,FFFF03060329000000CA,-,,,,
23:00:51.281,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:51.417,TX,FFFF0305032E0000C6,-,,,,
23:00:51.439,TX,FFFF03060329000000CA,-,,,,
23:00:51.589,TX,FFFF0305032E0000C6,-,,,,
23:00:51.610,TX,FFFF03060329000000CA,-,,,,
23:00:52.152,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:52.171,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:53.497,TX,FFFF0305032E0000C6,-,,,,
23:00:53.518,TX,FFFF03060329000000CA,-,,,,
23:00:54.049,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
23:00:57.321,TX,FFFF0305032E0000C6,-,,,,
23:00:57.342,TX,FFFF03060329000000CA,-,,,,
23:00:57.875,RX,FFFFFF030200FAFF,255,未定义指令,00FA,False,
